,State,Maths %,Science %
169566,AN,30.0,30.36
171855,AN,30.0,32.14
171579,AN,30.0,21.43
170751,AN,30.0,21.43
170092,AN,30.0,26.79
169694,AN,30.0,32.73
170086,AN,30.0,28.57
170730,AN,30.0,33.93
169608,AN,30.0,28.57
171537,AN,30.0,67.86
170434,AN,30.0,32.14
170391,AN,30.0,35.71
171793,AN,30.0,48.21
170090,AN,30.0,17.86
171773,AN,30.0,51.79
171576,AN,30.0,39.29
171272,AN,30.0,49.09
170333,AN,30.0,30.91
170379,AN,30.0,49.09
171751,AN,30.51,32.73
171625,AN,30.51,21.82
170017,AN,30.51,25.45
171051,AN,30.51,27.27
170271,AN,30.51,30.36
170269,AN,30.51,30.36
170541,AN,30.51,34.55
171496,AN,30.51,49.09
171862,AN,30.51,43.64
169684,AN,30.51,35.71
171868,AN,30.51,45.45
169849,AN,30.51,54.55
171123,AN,30.51,10.71
169538,AN,30.51,25.45
170801,AN,30.51,58.18
170320,AN,30.51,25.0
170660,AN,30.51,25.45
171554,AN,30.51,65.45
170990,AN,30.51,42.86
171046,AN,30.51,43.64
170554,AN,30.51,30.36
171654,AN,30.51,43.64
170459,AN,30.51,60.0
170445,AN,30.51,36.36
171542,AN,30.51,74.55
169859,AN,30.51,40.0
170762,AN,30.51,32.14
170527,AN,30.51,23.21
170539,AN,30.51,50.0
171706,AN,30.51,41.07
170940,AN,31.67,25.0
170662,AN,31.67,30.91
169537,AN,31.67,62.5
169679,AN,31.67,36.36
171789,AN,31.67,44.64
171859,AN,31.67,71.43
169458,AN,31.67,28.57
171767,AN,31.67,48.21
171300,AN,31.67,38.18
170303,AN,31.67,47.27
171775,AN,31.67,48.21
171769,AN,31.67,50.0
171606,AN,31.67,46.02
171268,AN,31.67,54.55
169953,AN,31.67,37.5
170597,AN,32.2,32.14
170591,AN,32.2,14.55
169693,AN,32.2,28.57
169687,AN,32.2,28.57
170142,AN,32.2,25.45
170087,AN,32.2,27.27
170292,AN,32.2,37.5
170082,AN,32.2,25.0
171747,AN,32.2,25.45
170491,AN,32.2,35.71
171330,AN,32.2,30.36
171858,AN,32.2,81.82
170362,AN,32.2,34.55
171261,AN,32.2,49.09
170322,AN,32.2,21.43
170489,AN,32.2,39.29
170261,AN,32.2,53.57
171741,AN,32.2,12.73
170855,AN,32.2,0.0
171746,AN,32.2,36.36
170354,AN,32.2,61.82
170356,AN,32.2,47.27
170812,AN,33.33,49.53
169599,AN,33.33,51.79
170323,AN,33.33,36.36
169531,AN,33.33,37.5
171710,AN,33.33,36.36
171462,AN,33.33,67.86
170638,AN,33.33,23.64
171376,AN,33.33,21.43
170494,AN,33.33,40.0
170909,AN,33.33,32.14
170649,AN,33.33,41.82
170571,AN,33.33,53.57
171707,AN,33.33,45.45
170531,AN,33.33,47.27
170530,AN,33.33,76.36
170094,AN,33.9,32.73
169860,AN,33.9,47.27
169955,AN,33.9,23.64
170497,AN,33.9,37.5
171468,AN,33.9,52.73
170936,AN,33.9,29.09
169686,AN,33.9,16.07
171649,AN,33.9,17.86
171854,AN,33.9,54.55
170805,AN,33.9,35.46
170813,AN,33.9,43.64
171607,AN,33.9,27.27
170257,AN,33.9,28.57
171492,AN,33.9,38.18
171297,AN,33.9,50.0
170085,AN,33.9,54.55
171653,AN,33.9,25.0
170081,AN,33.9,40.0
170350,AN,33.9,32.73
170466,AN,33.9,63.64
171739,AN,33.9,48.21
171719,AN,33.9,51.79
171790,AN,33.9,47.27
169857,AN,33.9,60.0
170712,AN,35.0,35.71
169512,AN,35.0,37.5
170461,AN,35.0,51.79
171524,AN,35.0,66.07
169682,AN,35.0,36.36
170390,AN,35.0,40.0
170438,AN,35.0,44.64
171722,AN,35.0,49.09
170182,AN,35.0,61.82
170598,AN,35.0,60.71
170444,AN,35.0,30.36
170442,AN,35.0,30.36
170432,AN,35.0,35.71
170262,AN,35.0,54.55
170381,AN,35.59,23.64
170718,AN,35.59,21.43
169689,AN,35.59,25.0
171553,AN,35.59,67.27
170658,AN,35.59,27.27
171463,AN,35.59,61.82
170509,AN,35.59,37.5
170202,AN,35.59,44.64
170543,AN,35.59,47.27
170452,AN,35.59,60.0
171648,AN,35.59,27.27
170368,AN,35.59,14.55
171456,AN,36.67,31.48
170810,AN,36.67,37.5
170307,AN,36.67,25.45
169728,AN,36.67,50.0
169601,AN,36.67,32.14
170428,AN,36.67,37.5
171646,AN,36.67,75.0
170915,AN,37.05,33.93
171655,AN,37.29,33.93
171455,AN,37.29,47.27
170503,AN,37.29,41.07
169790,AN,37.29,41.07
171570,AN,38.33,17.86
171557,AN,38.33,64.29
171460,AN,38.33,67.86
171265,AN,38.33,51.79
171658,AN,38.33,43.64
171644,AN,38.33,57.14
171184,AN,38.33,42.86
171284,AN,38.33,56.36
170392,AN,38.33,30.36
170809,AN,38.98,36.36
170089,AN,38.98,56.36
170290,AN,38.98,41.07
171453,AN,38.98,63.64
170770,AN,38.98,32.14
171711,AN,38.98,21.43
171652,AN,38.98,43.64
170943,AN,38.98,47.27
170455,AN,38.98,60.0
171556,AN,38.98,70.91
170351,AN,38.98,55.36
169580,AN,40.0,26.79
171458,AN,40.0,55.36
171467,AN,40.0,55.36
169978,AN,40.0,42.86
171465,AN,40.0,51.79
169835,AN,40.0,12.73
170681,AN,40.0,50.0
171702,AN,40.0,70.91
171494,AN,40.68,32.73
171558,AN,40.68,67.27
171651,AN,40.68,26.79
170815,AN,40.68,50.91
171604,AN,40.68,41.82
170763,AN,40.68,30.36
169532,AN,40.68,43.64
170575,AN,40.68,38.18
171260,AN,40.68,61.82
171640,AN,40.68,61.82
171743,AN,41.67,37.5
169510,AN,41.67,58.18
171264,AN,41.67,46.43
171266,AN,41.67,48.21
171736,AN,41.67,54.55
170767,AN,41.67,63.64
170735,AN,42.37,40.0
171457,AN,42.37,60.0
171656,AN,42.37,47.27
171249,AN,42.37,60.0
171538,AN,42.37,76.36
171647,AN,42.37,81.82
170316,AN,42.37,50.0
169649,AN,42.37,64.29
169843,AN,42.37,58.18
171363,AN,43.33,26.79
171899,AN,43.33,80.36
170337,AN,43.33,38.18
171182,AN,43.33,62.5
171641,AN,43.33,62.5
170620,AN,43.33,49.09
171362,AN,44.07,32.73
171748,AN,44.07,23.64
170807,AN,44.07,60.0
170811,AN,44.07,52.73
170367,AN,44.07,30.36
170875,AN,44.07,30.91
170468,AN,44.07,50.91
171901,AN,44.07,78.18
170493,AN,44.07,42.86
169769,AN,44.07,45.45
171540,AN,44.07,85.45
171900,AN,44.07,58.18
171469,AN,45.0,53.57
171552,AN,45.0,66.07
171491,AN,45.0,32.14
171659,AN,45.0,33.93
170357,AN,45.0,30.36
170656,AN,45.76,16.36
171459,AN,45.76,30.0
169725,AN,45.76,43.64
170450,AN,45.76,60.0
169836,AN,45.76,51.79
171258,AN,45.76,60.0
171181,AN,45.76,85.45
171898,AN,45.76,76.36
171358,AN,46.67,19.64
171490,AN,46.67,32.14
171907,AN,46.67,37.5
169514,AN,46.67,50.91
169648,AN,46.67,45.45
171642,AN,46.67,69.64
171639,AN,46.67,73.21
171851,AN,46.67,82.14
171580,AN,47.46,25.45
171461,AN,47.46,56.36
171361,AN,47.46,30.91
171744,AN,47.46,36.36
169515,AN,47.46,60.71
171645,AN,47.46,78.18
171905,AN,47.46,76.36
170846,AN,48.33,32.14
170738,AN,48.33,32.14
171360,AN,48.33,32.14
171257,AN,48.33,66.07
170361,AN,48.33,32.14
171180,AN,48.33,60.71
170870,AN,48.33,25.0
171495,AN,48.33,53.57
171555,AN,48.33,69.64
170647,AN,48.33,41.82
170733,AN,49.15,45.45
171263,AN,49.15,43.64
171525,AN,49.15,67.27
171721,AN,49.15,58.93
171072,AN,49.39,16.07
170736,AN,50.0,39.29
171493,AN,50.0,30.36
171259,AN,50.0,64.29
171738,AN,50.0,67.27
170581,AN,50.85,36.36
171359,AN,50.85,43.64
169509,AN,50.85,60.71
169722,AN,50.85,54.55
170330,AN,50.85,67.86
170579,AN,50.85,41.82
171638,AN,50.85,78.18
171894,AN,50.85,87.27
171643,AN,50.85,83.64
171745,AN,51.67,28.57
171250,AN,51.67,50.0
171488,AN,51.67,39.29
171262,AN,51.67,64.29
169516,AN,51.67,60.0
170858,AN,51.67,23.64
170343,AN,51.67,58.93
170666,AN,52.54,25.45
170664,AN,52.54,14.55
170866,AN,52.54,20.0
171208,AN,52.54,58.18
171204,AN,52.54,46.43
171735,AN,52.54,48.21
171201,AN,52.54,58.18
171185,AN,52.54,83.64
171489,AN,53.33,30.36
169837,AN,53.33,54.55
170458,AN,53.33,48.21
171734,AN,53.33,72.73
170851,AN,54.24,38.18
169832,AN,54.24,46.43
170577,AN,54.24,34.55
171198,AN,54.24,78.18
170734,AN,55.0,37.5
171752,AN,55.0,16.07
171565,AN,55.0,44.64
171207,AN,55.0,64.29
171203,AN,55.0,71.43
171895,AN,55.0,60.0
171205,AN,55.0,76.79
171186,AN,55.93,67.27
171206,AN,55.93,78.18
170850,AN,56.67,28.57
171724,AN,56.67,74.55
169923,AN,57.63,34.55
171200,AN,57.63,72.73
171749,AN,58.33,26.79
170857,AN,58.33,21.43
169517,AN,58.33,56.36
171720,AN,58.33,78.18
170731,AN,59.32,32.73
169834,AN,59.32,62.5
169513,AN,59.32,46.43
170580,AN,60.0,25.0
171740,AN,60.0,23.21
169833,AN,60.0,47.27
170453,AN,60.0,48.21
170874,AN,60.0,26.79
170454,AN,60.0,55.36
170668,AN,61.02,7.27
170667,AN,61.67,25.0
170118,AN,61.67,32.14
169508,AN,61.67,58.18
170859,AN,61.67,35.71
169831,AN,61.67,54.55
170868,AN,61.67,30.36
171075,AN,61.74,32.14
170867,AN,62.71,56.36
170576,AN,63.33,30.36
171906,AN,63.33,80.36
170449,AN,63.33,57.14
170657,AN,65.0,32.14
169924,AN,65.0,25.0
170844,AN,65.0,51.79
170456,AN,65.0,51.79
170451,AN,65.0,51.79
170854,AN,65.0,28.57
171896,AN,65.0,73.21
170845,AN,66.1,23.64
170387,AN,66.1,78.18
171750,AN,66.67,28.57
170578,AN,66.67,25.0
170739,AN,67.8,32.73
170842,AN,68.33,39.29
170665,AN,68.33,16.07
170865,AN,68.33,44.64
171902,AN,68.33,75.0
